Region,lga,investment,type,entity,theme,name,description
EASTERN METRO,Monash,21000000,Road Operations,Department of Transport,Roads,Active transport ,A package of priority projects will be funded to promote Victoria’s walking and cycling network safety and usage.
HUME,Mitchell,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Melton,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Hume,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,Wyndham,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Casey,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Cardinia,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Cardinia,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Casey,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Casey,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Port Phillip,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,Stonnington,21000000,Road Operations,Department of Transport,Roads,Active transport ,A package of priority projects will be funded to promote Victoria’s walking and cycling network safety and usage.
