Region,investment,type,entity,theme,name,description
EASTERN METRO,21000000,Road Operations,Department of Transport,Roads,Active transport ,A package of priority projects will be funded to promote Victorias walking and cycling network safety and usage.
HUME,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
N AND W METRO,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,276000000,Land Acquisition,Department of Education,Education,Land acquisition for new schools,"Land will be acquired for new schools in the following municipalities: Cardinia, Casey, Hume, Melton, Mitchell, Port Phillip and Wyndham."
SOUTH EASTERN METRO,21000000,Road Operations,Department of Transport,Roads,Active transport ,A package of priority projects will be funded to promote Victorias walking and cycling network safety and usage.
